No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage,Travel_Time
12303,Poorva Express (via ...,2,ER,1,1,0,1,1,0,0,1,CNB,0:10,TDL,0:20,0:20,0:10,2:40
12381,Poorva Express (via ...,2,ER,1,0,1,0,0,1,1,0,CNB,0:10,TDL,0:20,1:57,0:10,2:40
12184,Pratapgarh - Bhopal ...,2,WCR,4,1,0,1,0,1,0,0,CNB,0:20,JHS,0:30,0:30,0:10,3:50
11015,Kushinagar Express (...,3,CR,6,1,1,1,1,1,1,1,CNB,0:20,LKO,0:35,1:16,0:15,3:10
12108,Lucknow Jn. - Mumbai...,2,CR,4,0,1,0,1,0,1,0,CNB,0:20,JHS,0:30,0:58,0:10,3:50
59386,Penchvalley Passenge...,5,CR,7,1,0,1,1,0,0,1,CNB,0:20,LKO,0:45,1:46,0:25,6:10
9014,Lucknow Jn - Mumbai ...,2,WR,1,0,0,0,0,0,0,1,CNB,0:20,JHS,0:30,1:22,0:10,3:50
82908,Lucknow Jn - Mumbai ...,2,WR,1,0,0,0,0,0,0,1,CNB,0:20,JHS,0:30,1:49,0:10,3:50
12417,Prayagraj Express (P...,2,NCR,1,1,1,1,1,1,1,1,CNB,0:25,TDL,0:35,0:59,0:10,2:40
4134,Bandra Terminus - Al...,2,NCR,1,0,0,0,0,0,0,1,CNB,0:30,JHS,0:40,0:36,0:10,4:10
12260,New Delhi - Sealdah ...,1,ER,5,0,0,1,1,0,1,1,CNB,0:34,ALD,0:39,1:36,0:05,2:05
12250,Anand Vihar Terminal...,1,ER,4,0,1,0,0,0,0,0,CNB,0:34,ALD,0:39,0:50,0:05,2:05
20502,Anand Vihar Terminal...,1,NFR,1,0,0,0,0,1,0,0,CNB,0:34,ALD,0:39,0:46,0:05,2:05
22433,Suhaildev SF Express...,2,NR,1,1,0,0,1,0,0,0,CNB,0:35,TDL,0:45,1:59,0:10,2:40
19314,Rajendranagar Termin...,2,WR,4,0,0,0,0,0,0,1,CNB,0:40,JHS,0:50,1:26,0:10,4:10
19322,Rajendra Nagar Termi...,2,WR,4,0,0,1,0,0,0,0,CNB,0:40,JHS,0:50,0:27,0:10,4:10
9308,Patna - Indore Summe...,2,WR,1,0,0,0,0,1,0,0,CNB,0:40,JHS,0:50,1:42,0:10,4:10
12593,Lucknow Jn - Bhopal ...,2,NER,4,1,0,0,0,0,0,0,CNB,0:40,JHS,0:50,1:55,0:10,3:50
15029,Gorakhpur - Pune Wee...,2,NER,4,0,0,0,0,0,1,0,CNB,0:40,JHS,0:50,1:54,0:10,4:10
19402,Lucknow - Ahmedabad ...,3,WR,8,0,0,0,1,0,0,0,CNB,0:40,TDL,0:55,1:07,0:15,3:10
19041,Bandra Terminus - Gh...,2,WR,1,1,0,1,0,0,0,0,CNB,0:45,JHS,0:55,1:16,0:10,4:10
4185,Jhansi - Patna Summe...,3,NCR,1,0,0,0,0,1,0,0,CNB,0:45,ALD,1:00,1:00,0:15,3:10
12225,Kaifiyaat SF Express,2,NR,8,1,1,1,1,1,1,1,CNB,0:50,TDL,1:00,1:58,0:10,2:40
12281,Bhubaneswar - New De...,1,ECoR,6,0,0,0,0,1,0,0,CNB,0:55,TDL,1:00,1:38,0:05,2:05
12273,Howrah - New Delhi D...,1,ER,2,0,0,1,0,0,0,1,CNB,0:55,TDL,1:00,0:14,0:05,2:05
12596,Anand Vihar Terminal...,2,NER,9,0,0,0,0,1,0,1,CNB,0:55,LKO,1:05,0:31,0:10,2:40
12572,Anand Vihar Terminal...,2,NER,9,0,0,1,0,0,0,0,CNB,0:55,LKO,1:05,0:12,0:10,2:40
19166,Darbhanga - Ahmedaba...,3,WR,7,1,0,1,0,1,0,0,CNB,1:10,TDL,1:25,0:44,0:15,3:10
19168,Varanasi - Ahmedabad...,3,WR,6,0,1,0,1,0,1,1,CNB,1:10,TDL,1:25,0:43,0:15,3:10
12560,Shiv Ganga Express,2,NER,7,1,1,1,1,1,1,1,CNB,1:10,ALD,1:20,0:27,0:10,2:40
4044,Anand Vihar Terminal...,3,NR,1,0,0,0,0,0,1,0,CNB,1:10,ALD,1:25,0:15,0:15,3:10
11407,Pune - Lucknow Jn. E...,3,CR,2,0,0,0,0,1,0,0,CNB,1:10,LKO,1:25,1:44,0:15,3:10
12393,Sampoorna Kranti Exp...,2,ECR,1,1,1,1,1,1,1,1,CNB,1:22,TDL,1:32,1:05,0:10,2:40
14854,Marudhar Express (vi...,3,NWR,8,1,0,1,0,0,1,0,CNB,1:25,ALD,1:40,1:42,0:15,3:10
14864,Marudhar Express (vi...,3,NWR,8,0,1,0,1,0,0,1,CNB,1:25,ALD,1:40,0:49,0:15,3:10
14866,Marudhar Express (Vi...,3,NWR,8,0,0,0,0,1,0,0,CNB,1:25,ALD,1:40,1:32,0:15,3:10
11106,Pratham Swatantrata ...,3,NCR,9,0,0,0,0,0,0,1,CNB,1:25,ALD,1:40,0:40,0:15,3:10
12320,Agra Cantt - Kolkata...,2,ER,5,0,0,0,0,0,1,0,CNB,1:25,ALD,1:35,0:13,0:10,2:40
13237,Patna - Kota Express...,3,ECR,7,1,1,0,1,0,0,0,CNB,1:30,TDL,1:45,0:43,0:15,3:10
13239,Patna - Kota Express...,3,ECR,7,0,0,1,0,1,1,1,CNB,1:30,TDL,1:45,0:41,0:15,3:10
12444,Anand Vihar Terminal...,2,NR,5,0,0,0,1,0,0,0,CNB,1:35,ALD,1:45,1:29,0:10,2:40
12330,West Bengal Sampark ...,2,ER,5,0,0,0,0,1,0,0,CNB,1:35,ALD,1:45,1:05,0:10,2:40
12380,Jallianwalabagh Expr...,2,ER,5,0,1,0,0,0,0,0,CNB,1:35,ALD,1:45,1:50,0:10,2:40
22410,Anand Vihar Terminal...,2,NR,5,1,0,0,0,0,0,0,CNB,1:35,ALD,1:45,1:30,0:10,2:40
22434,Suhaildev SF Express...,2,NR,1,0,0,1,0,0,0,1,CNB,1:37,ALD,1:47,1:41,0:10,2:40
12559,Shiv Ganga Express (...,2,NER,1,1,1,1,1,1,1,1,CNB,1:38,TDL,1:48,0:35,0:10,2:40
12226,Kaifiyaat SF Express,2,NR,8,1,1,1,1,1,1,1,CNB,1:42,ALD,1:52,0:29,0:10,2:40
12367,Vikramshila Express,2,ER,1,1,1,1,1,1,1,1,CNB,1:48,TDL,1:58,0:49,0:10,2:40
19022,Lucknow Jn. - Mumbai...,2,WR,8,0,1,0,0,0,0,0,CNB,1:50,JHS,2:00,0:40,0:10,4:10
12818,Jharkhand Swarna Jay...,2,SER,6,1,0,1,0,0,1,0,CNB,1:55,ALD,2:05,1:01,0:10,2:40
12874,Jharkhand Swarna Jay...,2,SER,6,0,0,0,1,1,0,1,CNB,1:55,ALD,2:05,1:42,0:10,2:40
14853,Marudhar Express (vi...,3,NWR,8,1,0,1,0,1,0,0,CNB,2:00,TDL,2:15,1:12,0:15,3:10
14863,Marudhar Express (vi...,3,NWR,8,0,1,0,1,0,0,1,CNB,2:00,TDL,2:15,1:29,0:15,3:10
14865,Marudhar Express (vi...,3,NWR,8,0,0,0,0,0,1,0,CNB,2:00,TDL,2:15,1:24,0:15,3:10
12404,Jaipur - Allahabad S...,2,NCR,5,1,1,1,1,1,1,1,CNB,2:05,ALD,2:15,1:02,0:10,2:40
4046,Anand Vihar Terminal...,3,NR,1,0,1,0,0,0,0,0,CNB,2:05,ALD,2:20,0:16,0:15,3:10
12403,Allahabad - Jaipur S...,2,NCR,2,1,1,1,1,1,1,1,CNB,2:15,TDL,2:25,1:51,0:10,2:40
11016,Kushinagar Express (...,2,CR,4,1,1,1,1,1,1,1,CNB,2:25,JHS,2:35,1:39,0:10,4:10
12554,Vaishali SF Express ...,2,ECR,6,1,1,1,1,1,1,1,CNB,2:25,ALD,2:35,1:52,0:10,2:40
12402,Magadh Express (PT),2,NWR,5,1,1,1,1,1,1,1,CNB,2:35,ALD,2:45,0:56,0:10,2:40
12309,Rajendra Nagar (Patn...,1,ECR,2,1,1,1,1,1,1,1,CNB,2:35,TDL,2:40,1:36,0:05,2:05
12562,Swatantrata Senani S...,2,ECR,4,1,1,1,1,1,1,1,CNB,2:45,ALD,2:55,1:08,0:10,2:40
12595,Gorakhpur - Anand Vi...,2,NER,7,0,0,0,1,0,1,0,CNB,2:45,TDL,2:55,0:15,0:10,2:40
12571,Gorakhpur - Anand Vi...,2,NER,9,0,1,0,0,0,0,0,CNB,2:45,TDL,2:55,0:25,0:10,2:40
54102,Kanpur Central-Praya...*,5,NCR,3,1,1,1,1,1,1,1,CNB,2:55,ALD,3:20,1:30,0:25,6:10
12569,Jaynagar - Anand Vih...,2,ECR,2,0,0,1,0,0,0,1,CNB,3:00,TDL,3:10,1:36,0:10,2:40
22405,Bhagalpur - Anand Vi...,2,NR,2,1,0,0,1,0,1,0,CNB,3:00,TDL,3:10,1:29,0:10,2:40
2266,Anand Vihar Terminal...,1,ER,5,0,1,0,0,0,0,0,CNB,3:05,ALD,3:10,0:33,0:05,2:05
2366,Anand Vihar Terminal...,2,ECR,2,0,0,1,0,0,0,1,CNB,3:10,ALD,3:20,0:47,0:10,2:40
12556,Gorakhdham SF Expres...,2,NER,8,1,1,1,1,1,1,1,CNB,3:15,LKO,3:25,1:52,0:10,2:40
12401,Magadh Express,2,NWR,1,1,1,1,1,1,1,1,CNB,3:25,TDL,3:35,0:11,0:10,2:40
12428,Anand Vihar Terminal...,2,NR,4,1,1,1,1,1,1,1,CNB,3:30,ALD,3:40,1:02,0:10,2:40
22970,Varanasi - Okha SF E...,2,WR,2,1,0,0,0,0,0,0,CNB,3:35,ALD,3:45,0:51,0:10,2:40
19042,Ghazipur City - Band...,2,WR,1,0,1,0,1,0,0,0,CNB,3:35,JHS,3:45,1:54,0:10,4:10
12418,Prayagraj Express,2,NCR,5,1,1,1,1,1,1,1,CNB,3:37,ALD,3:47,1:08,0:10,2:40
12536,Raipur - Lucknow Jn ...,2,NER,6,0,0,0,1,0,0,1,CNB,3:40,LKO,3:50,0:41,0:10,2:40
12395,Ziyarat Express,2,ECR,2,0,0,0,0,1,0,0,CNB,3:45,ALD,3:55,1:39,0:10,2:40
9016,Gorakhpur - Mumbai B...,2,WR,1,0,1,0,0,0,0,0,CNB,3:50,JHS,4:00,0:47,0:10,4:10
82910,Gorakhpur - Bandra T...,2,WR,1,0,1,0,0,0,0,0,CNB,3:50,JHS,4:00,0:37,0:10,3:50
11105,Pratham Swatantrata ...,2,NCR,3,0,1,0,0,0,0,0,CNB,3:55,JHS,4:05,1:17,0:10,4:10
12802,Purushottam SF Expre...,2,ECoR,4,1,1,1,1,1,1,1,CNB,4:00,ALD,4:10,1:54,0:10,2:40
12443,Haldia - Anand Vihar...,2,NR,2,0,0,0,0,0,1,0,CNB,4:00,TDL,4:10,1:42,0:10,2:40
12329,West Bengal Sampark ...,2,ER,2,0,0,0,1,0,0,0,CNB,4:00,TDL,4:10,1:28,0:10,2:40
12379,Jallianwalabagh Expr...,2,ER,1,0,0,0,0,0,0,1,CNB,4:00,TDL,4:10,0:24,0:10,2:40
22409,Gaya - Anand Vihar T...,2,NR,2,0,1,0,0,0,0,0,CNB,4:00,TDL,4:10,1:01,0:10,2:40
12319,Kolkata - Agra Cantt...,2,ER,2,0,0,0,0,1,0,0,CNB,4:00,TDL,4:10,1:24,0:10,2:40
22857,Santragachi - Anand ...,2,SER,2,0,0,1,0,0,0,0,CNB,4:00,TDL,4:10,1:20,0:10,2:40
12183,Bhopal - Pratapgarh ...,2,WCR,2,0,1,0,1,0,0,1,CNB,4:05,LKO,4:15,1:17,0:10,2:40
19313,Indore - Rajendranag...,3,WR,8,0,0,0,0,1,0,0,CNB,4:05,ALD,4:20,1:31,0:15,3:10
19321,Indore - Rajendranag...,3,WR,8,1,0,0,0,0,0,0,CNB,4:05,ALD,4:20,1:07,0:15,3:10
9307,Indore - Patna Speci...,3,WR,1,0,0,1,0,0,0,0,CNB,4:05,ALD,4:20,0:23,0:15,3:10
19305,Indore - Guwahati We...,3,WR,4,0,0,0,0,0,1,0,CNB,4:05,ALD,4:20,1:12,0:15,3:10
14114,Link Express (Sangam...,3,NCR,4,1,1,1,1,1,1,1,CNB,4:15,ALD,4:30,0:33,0:15,3:10
14164,Sangam Express,3,NCR,4,1,1,1,1,1,1,1,CNB,4:15,ALD,4:30,1:40,0:15,3:10
19710,Kamakhya - Jaipur Ka...,3,NWR,8,0,0,0,0,0,0,1,CNB,4:20,TDL,4:35,1:41,0:15,3:10
12581,Manduadih - New Delh...,2,NER,1,1,1,1,1,1,1,1,CNB,4:20,TDL,4:30,0:56,0:10,2:40
12144,Sultanpur - Mumbai L...,2,CR,2,0,0,1,0,0,0,0,CNB,4:25,JHS,4:35,1:26,0:10,3:50
13238,Kota - Patna Expres...,3,ECR,7,0,1,0,0,0,1,1,CNB,4:30,ALD,4:45,1:59,0:15,3:10
13240,Kota - Patna Express...,3,ECR,7,1,0,1,1,1,0,0,CNB,4:30,ALD,4:45,1:55,0:15,3:10
64163,Kanpur Panki MEMU*,4,NCR,10,1,1,1,1,1,1,1,CNB,4:35,PNK,4:40,1:10,0:05,6:10
19037,Bandra Terminus - Go...,3,WR,6,1,0,1,0,1,1,0,CNB,4:45,LKO,5:00,0:17,0:15,3:10
19039,Bandra Terminus - Mu...,3,WR,6,0,1,0,1,0,0,1,CNB,4:45,ALD,5:00,1:09,0:15,3:10
12582,New Delhi - Manduadi...,2,NER,4,1,1,1,1,1,1,1,CNB,4:50,ALD,5:00,1:59,0:10,2:40
12301,Howrah - New Delhi R...,1,ER,2,1,0,1,1,1,1,1,CNB,4:53,TDL,4:58,1:56,0:05,2:05
12305,Howrah - New Delhi R...,1,ER,3,0,1,0,0,0,0,0,CNB,4:53,TDL,4:58,1:20,0:05,2:05
64202,Kanpur - Lucknow MEM...*,4,NR,8,1,1,1,1,1,1,1,CNB,5:00,LKO,5:05,0:25,0:05,6:10
12423,Dibrugarh Town - New...,1,NR,2,1,1,1,1,1,1,1,CNB,5:08,TDL,5:13,1:03,0:05,2:05
54326,Kanpur - Sitapur Ci...*,5,NR,4,1,1,1,1,1,1,1,CNB,5:15,LKO,5:40,0:58,0:25,6:10
12313,Sealdah - New Delhi ...,1,ER,5,1,1,1,1,1,1,1,CNB,5:18,TDL,5:23,1:33,0:05,2:05
22811,Bhubaneswar - New De...,1,ECoR,5,0,1,0,0,1,0,0,CNB,5:28,TDL,5:33,0:55,0:05,2:05
22823,Bhubaneswar - New De...,1,ECoR,8,0,0,1,1,0,1,1,CNB,5:28,TDL,5:33,1:17,0:05,2:05
20817,Bhubaneswar - New De...,1,ECoR,5,1,0,0,0,0,0,0,CNB,5:28,TDL,5:33,0:23,0:05,2:05
14218,Unchahar Express,3,NR,5,1,1,1,1,1,1,1,CNB,5:30,ALD,5:45,1:54,0:15,3:10
12541,Gorakhpur - Mumbai L...,2,NER,5,1,1,1,1,1,1,1,CNB,5:35,JHS,5:45,0:21,0:10,3:50
13414,Farakka Express (via...,3,ER,6,1,0,1,0,1,0,0,CNB,5:45,ALD,6:00,0:50,0:15,3:10
13484,Farakka Express (via...,3,ER,7,0,1,0,1,0,1,1,CNB,5:45,ALD,6:00,0:51,0:15,3:10
12439,Ranchi - New Delhi R...,1,SER,2,1,0,0,0,1,0,0,CNB,5:50,TDL,5:55,1:14,0:05,2:05
12453,Ranchi - New Delhi R...,1,NR,2,0,1,0,0,0,1,0,CNB,5:50,TDL,5:55,1:57,0:05,2:05
12877,Ranchi - New Delhi G...,2,SER,2,0,0,1,1,0,0,1,CNB,5:50,TDL,6:00,2:00,0:10,2:40
14056,Brahmaputra Mail (PT...,3,NR,6,1,1,1,1,1,1,1,CNB,5:55,ALD,6:10,1:27,0:15,3:10
12033,Kanpur - New Delhi S...*,1,NCR,1,0,1,1,1,1,1,1,CNB,6:00,TDL,6:05,1:45,0:05,2:05
22532,Mathura - Chhapra Ex...,2,NER,9,0,0,1,0,1,0,1,CNB,6:00,ALD,6:10,1:32,0:10,2:40
51804,Kanpur - Jhansi Pass...*,5,NCR,10,1,1,1,1,1,1,1,CNB,6:10,JHS,6:35,0:21,0:25,6:30
12350,New Delhi - Bhagalpu...,2,ER,7,0,0,0,1,0,0,0,CNB,6:15,ALD,6:25,0:52,0:10,2:40
15016,Yesvantpur - Gorakhp...,3,NER,8,0,0,0,0,0,0,1,CNB,6:15,LKO,6:30,1:45,0:15,3:10
12502,Poorvottar Sampark K...,2,NFR,8,0,1,0,0,1,0,0,CNB,6:15,TDL,6:25,0:37,0:10,2:40
12561,Swatantrata Senani S...,2,ECR,2,1,1,1,1,1,1,1,CNB,6:15,TDL,6:25,1:49,0:10,2:40
12209,Kanpur - Kathgodam G...*,2,NR,5,0,0,1,0,0,0,0,CNB,6:15,LKO,6:25,1:19,0:10,2:40
15602,Poorvottar Sampark K...,2,NFR,7,0,0,0,0,0,1,0,CNB,6:15,ALD,6:25,1:57,0:10,2:40
14020,Tripura Sundari Expr...,3,NR,1,0,0,1,0,0,0,0,CNB,6:15,ALD,6:30,0:17,0:15,3:10
22428,Bhrigu SF Express,2,NR,6,1,0,0,0,0,0,0,CNB,6:15,ALD,6:25,1:42,0:10,2:40
2411,Arunachal AC SF Spec...,1,NR,1,0,1,0,0,0,0,0,CNB,6:20,TDL,6:25,1:06,0:05,2:05
22411,Naharlagun - New Del...,1,NR,4,0,0,0,0,1,0,0,CNB,6:20,TDL,6:25,1:24,0:05,2:05
15705,Champaran Humsafar E...,2,NFR,1,0,0,1,0,0,1,0,CNB,6:20,TDL,6:30,0:14,0:10,2:40
12259,Sealdah - New Delhi ...,1,ER,2,0,1,1,0,1,1,0,CNB,6:28,TDL,6:33,0:48,0:05,2:05
12249,Howrah - Anand Vihar...,1,ER,2,1,0,0,0,0,0,0,CNB,6:28,TDL,6:33,1:51,0:05,2:05
20501,Agartala - Anand Vih...,1,NFR,1,0,0,0,1,0,0,0,CNB,6:28,TDL,6:33,0:51,0:05,2:05
64260,Panki - Lucknow Jn. ...,4,NR,9,1,1,1,1,1,1,1,CNB,6:30,LKO,6:35,0:50,0:05,6:10
22442,Kanpur - Chitrakutdh...*,2,NCR,4,1,1,1,1,1,1,1,CNB,6:30,ALD,6:40,0:58,0:10,2:40
64153,Kanpur - Etawah MEMU*,4,NCR,5,1,1,1,1,1,1,1,CNB,6:35,ETW,6:40,1:26,0:05,6:10
55325,Lucknow Junction - K...,5,NER,9,1,1,1,1,1,1,1,CNB,6:43,TDL,7:08,1:31,0:25,6:10
12315,Ananya Express (PT),2,ER,2,0,0,0,0,0,1,0,CNB,6:50,TDL,7:00,0:53,0:10,2:40
12349,Bhagalpur - New Delh...,2,ER,2,0,0,1,0,0,0,0,CNB,6:50,TDL,7:00,0:25,0:10,2:40
12501,Poorvottar Sampark K...,2,NFR,2,1,0,0,0,1,0,0,CNB,6:50,TDL,7:00,0:15,0:10,2:40
15601,Poorvottar Sampark K...,2,NFR,9,0,0,0,1,0,0,0,CNB,6:50,TDL,7:00,1:17,0:10,2:40
14019,Tripura Sundari Expr...,3,NR,1,0,0,0,0,0,0,1,CNB,6:50,TDL,7:05,1:28,0:15,3:10
22427,Bhrigu SF Express,2,NR,1,0,1,0,0,0,0,0,CNB,6:50,TDL,7:00,1:05,0:10,2:40
12534,Pushpak Express (PT),2,NER,8,1,1,1,1,1,1,1,CNB,7:00,LKO,7:10,0:10,0:10,2:40
2265,Sealdah - Anand Viha...,1,ER,1,1,0,0,0,0,0,0,CNB,7:00,TDL,7:05,1:13,0:05,2:05
