No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
12204,Amritsar - Saharsa G...,2,NR,4,1,1,0,0,1,0,0,GKP,0:15,SHC,0:20,0:16,0:05
4406,Delhi - Darbhanga AC...,3,NR,5,0,0,1,0,0,1,0,GKP,0:15,DBG,0:25,0:51,0:10
12203,Saharsa - Amritsar G...,2,NR,1,0,1,1,0,0,1,0,GKP,0:45,ASR,0:50,0:14,0:05
15101,Chhapra - Mumbai CSM...,3,NER,1,0,0,0,1,0,0,0,GKP,0:45,CSMT,0:55,1:36,0:10
15102,Mumbai CSMT - Chhapr...,3,NER,5,1,0,0,0,0,0,0,GKP,0:55,CPR,1:05,1:02,0:10
5065,Chhapra - Lucknow Jn...,3,NER,2,0,1,0,1,0,0,0,GKP,1:10,LJN,1:20,0:18,0:10
55008,Gorakhpur - Patliput...*,5,NER,8,1,1,1,1,1,1,1,GKP,1:20,PPTA,1:35,3:20,0:15
12537,Bapudham SF Express,2,NER,4,0,0,1,0,1,0,1,GKP,1:40,MUV,1:45,0:42,0:05
5008,Howrah - Ramnagar Sp...,3,NER,4,0,1,0,0,0,0,0,GKP,1:45,RMR,1:55,0:23,0:10
11124,Gwalior - Barauni Ma...,3,NCR,6,1,1,1,1,1,1,1,GKP,2:05,BJU,2:15,0:30,0:10
5066,Lucknow Jn - Chhapra...,3,NER,2,1,0,1,0,0,0,0,GKP,2:25,CPR,2:35,2:49,0:10
55042,Gorakhpur - Bettiah ...*,5,NER,2,1,1,1,1,1,1,1,GKP,2:40,BTH,2:55,0:27,0:15
15529,Saharsa - Anand Viha...,3,ECR,4,0,0,0,0,1,0,0,GKP,2:40,ANVT,2:50,1:57,0:10
14009,Champaran Satyagrah ...,3,NR,2,0,1,0,0,0,0,0,GKP,2:40,ANVT,2:50,1:50,0:10
