No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
22129,Tulsi Express (PT),2,CR,7,0,1,0,1,0,0,0,JHS,0:05,LTT,0:10,3:15,0:05
15016,Yesvantpur - Gorakhp...,3,NER,2,0,0,0,0,0,0,1,JHS,0:05,YPR,0:15,1:22,0:10
8791,Durg - Jammu Tawi We...,3,SECR,2,1,0,0,0,0,0,0,JHS,0:05,DURG,0:15,1:45,0:10
8792,Jammu Tawi - Durg We...,3,SECR,2,0,0,1,0,0,0,0,JHS,0:10,JAT,0:20,2:14,0:10
22706,Jammu Tawi - Tirupat...,2,SCR,2,0,0,0,0,0,0,1,JHS,0:10,JAT,0:15,1:45,0:05
12621,Tamil Nadu SF Expres...,2,SR,4,1,1,1,1,1,1,1,JHS,0:16,MAS,0:21,1:53,0:05
51814,Lucknow-Jhansi Passe...*,5,NCR,2,1,1,1,1,1,1,1,JHS,0:25,LKO,0:45,1:44,0:20
12171,Mumbai LTT - Haridwa...,2,CR,4,0,0,1,0,0,1,0,JHS,0:28,LTT,0:33,3:32,0:05
22455,Sainagar Shirdi - Ka...,2,NR,4,1,0,0,1,0,0,0,JHS,0:28,SNSI,0:33,0:14,0:05
18215,Durg - Jammu Tawi Ex...,3,SECR,4,0,0,0,0,1,0,0,JHS,0:28,DURG,0:38,2:00,0:10
2171,Mumbai CSMT - Jammu ...,2,CR,2,0,0,0,0,0,0,1,JHS,0:30,CSMT,0:35,1:05,0:05
12405,Bhusaval - Hazrat Ni...,2,NR,5,0,1,0,1,0,0,0,JHS,0:40,BSL,0:45,3:59,0:05
12409,Raigarh - H.Nizamudd...,2,NR,5,1,0,1,0,1,1,1,JHS,0:40,RIG,0:45,3:21,0:05
22691,KSR Bengaluru - Hazr...,1,SWR,4,1,1,1,1,1,1,1,JHS,0:51,SBC,0:54,0:40,0:03
12616,Grand Trunk (GT) Exp...,2,SR,1,1,1,1,1,1,1,1,JHS,0:55,DEE,1:00,2:41,0:05
12213,Yesvantpur - Delhi S...,1,SWR,4,0,1,0,0,0,0,0,JHS,1:01,YPR,1:04,3:25,0:03
2172,Jammu Tawi - Mumbai...,2,CR,2,0,1,0,0,0,0,0,JHS,1:10,JAT,1:15,2:11,0:05
22692,Hazrat Nizamuddin - ...,1,SWR,2,1,1,1,1,1,1,1,JHS,1:15,NZM,1:18,1:50,0:03
12533,Pushpak Express (PT),2,NER,3,1,1,1,1,1,1,1,JHS,1:30,LJN,1:35,1:22,0:05
12155,Shaan-E-Bhopal SF Ex...,2,WCR,3,1,1,1,1,1,1,1,JHS,1:35,HBJ,1:40,0:06,0:05
22130,Tulsi Express (PT),2,CR,2,0,0,1,0,1,0,0,JHS,1:50,ALD,1:55,0:28,0:05
12534,Pushpak Express (PT),2,NER,1,1,1,1,1,1,1,1,JHS,1:58,CSMT,2:03,0:01,0:05
12448,Uttar Pradesh Sampar...,2,NR,1,1,1,1,1,1,1,1,JHS,2:05,NZM,2:10,1:44,0:05
12448,Uttar Pradesh Sampar...,2,NR,1,1,1,1,1,1,1,1,JHS,2:05,NZM,2:10,1:54,0:05
12723,Telangana Express (P...,2,SCR,5,1,1,1,1,1,1,1,JHS,2:08,HYB,2:13,3:03,0:05
12823,Chhattisgarh Sampark...,2,SECR,4,1,0,1,0,0,1,0,JHS,2:30,DURG,2:35,2:07,0:05
12121,Madhya Pradesh Sampa...,2,WCR,4,0,1,0,0,1,0,1,JHS,2:30,JBP,2:35,1:02,0:05
12549,Durg - Jammu Tawi (W...,2,SECR,4,0,0,0,1,0,0,0,JHS,2:30,DURG,2:35,0:05,0:05
12156,Shaan E Bhopal SF Ex...,2,WCR,2,1,1,1,1,1,1,1,JHS,2:33,NZM,2:38,1:13,0:05
12920,Malwa SF Express,2,WR,3,1,1,1,1,1,1,1,JHS,2:35,SVDK,2:40,0:48,0:05
12649,Karnataka Sampark Kr...,2,SWR,4,1,1,1,1,0,1,0,JHS,2:50,YPR,2:55,2:29,0:05
22705,Tirupati - Jammu Taw...,2,SCR,4,0,0,0,0,1,0,0,JHS,2:50,TPTY,2:55,3:56,0:05
12628,Karnataka Express (P...,2,SWR,2,1,1,1,1,1,1,1,JHS,2:54,NDLS,2:59,0:33,0:05
19053,Surat - Muzaffarpur ...,3,WR,4,0,0,0,0,0,0,1,JHS,3:00,ST,3:10,0:52,0:10
15046,Okha - Gorakhpur Exp...,3,NER,4,0,0,1,0,0,0,0,JHS,3:05,OKHA,3:15,0:43,0:10
14309,Ujjaini Express,3,NR,5,0,0,0,0,1,1,0,JHS,3:05,UJN,3:15,1:54,0:10
14313,Mumbai LTT - Bareill...,3,NR,4,0,0,1,0,0,0,0,JHS,3:15,LTT,3:25,0:19,0:10
12594,Bhopal - Lucknow Jn ...,2,NER,4,0,1,0,0,0,0,0,JHS,3:15,BPL,3:20,1:28,0:05
14319,Indore - Bareilly We...,3,NR,5,0,0,0,0,0,1,0,JHS,3:15,INDB,3:25,0:29,0:10
15068,Mumbai Bandra T - Go...,3,NER,2,0,0,0,0,0,0,1,JHS,3:15,BDTS,3:25,2:22,0:10
12162,Lashkar SF Express (...,2,CR,3,1,0,0,0,0,0,0,JHS,3:25,AGC,3:30,0:56,0:05
18216,Jammu Tawi - Durg Ex...,3,SECR,3,0,0,0,0,0,0,1,JHS,3:25,JAT,3:35,3:52,0:10
12627,Karnataka Express (P...,2,SWR,5,1,1,1,1,1,1,1,JHS,3:33,SBC,3:38,2:51,0:05
12184,Pratapgarh - Bhopal ...,2,WCR,1,1,0,1,0,1,0,0,JHS,3:35,PBH,3:40,1:39,0:05
12108,Lucknow Jn. - Mumbai...,2,CR,1,0,1,0,1,0,1,0,JHS,3:35,LJN,3:40,2:44,0:05
9014,Lucknow Jn - Mumbai ...,2,WR,2,0,0,0,0,0,0,1,JHS,3:35,LJN,3:40,2:44,0:05
82908,Lucknow Jn - Mumbai ...,2,WR,2,0,0,0,0,0,0,1,JHS,3:35,LJN,3:40,0:41,0:05
12189,Mahakaushal Express ...,2,WCR,4,1,1,1,1,1,1,1,JHS,3:57,JBP,4:02,0:41,0:05
12622,Tamil Nadu SF Expres...,2,SR,2,1,1,1,1,1,1,1,JHS,3:58,NDLS,4:03,0:18,0:05
12192,Shridham SF Express ...,2,WCR,5,1,1,1,1,1,1,1,JHS,4:00,JBP,4:05,1:23,0:05
12590,Secunderabad - Gorak...,2,NER,4,0,0,0,0,0,0,1,JHS,4:18,SC,4:23,1:13,0:05
