No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
5102,Delhi - Chhapra Jans...,3,NER,1,0,0,1,0,0,0,0,LKO,0:05,CPR,0:15,1:15,0:10
22417,Varanasi - New Delhi...,2,NR,1,1,0,0,1,0,1,0,LKO,0:05,NDLS,0:10,1:55,0:05
22419,Suhaildev SF Express...,2,NR,1,0,1,1,0,1,0,1,LKO,0:05,ANVT,0:10,3:43,0:05
14612,Shri Mata Vaishno De...,3,NR,2,0,0,0,0,0,1,0,LKO,0:05,GCT,0:15,3:01,0:10
5116,Anand Vihar Terminal...,3,NER,2,0,0,0,0,1,0,0,LKO,0:15,CPR,0:25,2:14,0:10
14853,Marudhar Express (vi...,3,NWR,4,1,0,1,0,1,0,0,LKO,0:30,JU,0:40,3:39,0:10
14863,Marudhar Express (vi...,3,NWR,5,0,1,0,1,0,0,1,LKO,0:30,JU,0:40,2:18,0:10
14865,Marudhar Express (vi...,3,NWR,4,0,0,0,0,0,1,0,LKO,0:30,JU,0:40,3:08,0:10
15708,Amrapali Express,3,NFR,1,1,1,1,1,1,1,1,LKO,0:40,KIR,0:50,1:46,0:10
11016,Kushinagar Express (...,3,CR,4,1,1,1,1,1,1,1,LKO,0:40,LTT,0:50,3:21,0:10
19165,Ahmedabad - Darbhang...,3,WR,3,1,0,1,0,0,1,0,LKO,1:05,DBG,1:15,3:03,0:10
19167,Ahmedabad - Varanasi...,3,WR,3,0,1,0,1,1,0,1,LKO,1:05,BSB,1:15,0:00,0:10
14649,Saryu Yamuna Express,3,NR,2,0,1,0,1,0,0,1,LKO,1:05,ASR,1:15,1:57,0:10
14673,Shaheed Express (PT),3,NR,6,1,0,1,0,1,1,0,LKO,1:05,ASR,1:15,1:26,0:10
12595,Gorakhpur - Anand Vi...,2,NER,1,0,0,0,1,0,1,0,LKO,1:15,ANVT,1:20,3:56,0:05
12571,Gorakhpur - Anand Vi...,2,NER,4,0,1,0,0,0,0,0,LKO,1:15,ANVT,1:20,2:22,0:05
14116,Haridwar - Allahabad...,3,NCR,1,0,0,1,0,1,0,1,LKO,1:25,ALD,1:35,1:52,0:10
12354,Lal Kuan - Howrah We...,2,ER,5,1,0,0,0,0,0,0,LKO,1:25,HWH,1:30,0:39,0:05
3428,Haridwar - Malda Tow...,3,ER,2,0,0,0,1,0,0,0,LKO,1:25,MLDT,1:35,0:31,0:10
12353,Howrah - Lal Kuan We...,2,ER,7,0,0,0,0,0,0,1,LKO,1:30,LKU,1:35,0:54,0:05
22407,Varanasi - Anand Vih...,2,NR,7,0,1,0,1,0,1,0,LKO,1:30,ANVT,1:35,1:43,0:05
12371,Howrah - Jaisalmer S...,2,ER,3,0,0,1,0,0,0,0,LKO,1:30,JSM,1:35,2:20,0:05
15624,Kamakhya - Bhagat Ki...,3,NFR,7,1,0,0,0,0,0,0,LKO,1:30,BGKT,1:40,0:58,0:10
13257,Danapur - Anand Viha...,3,ECR,4,1,1,1,1,1,1,1,LKO,1:50,ANVT,2:00,3:07,0:10
11015,Kushinagar Express (...,3,CR,6,1,1,1,1,1,1,1,LKO,1:55,GKP,2:05,0:13,0:10
59386,Penchvalley Passenge...,5,CR,6,1,0,1,1,0,0,1,LKO,1:55,GKP,2:10,1:31,0:15
15903,Dibrugarh - Chandiga...,3,NFR,5,1,0,0,1,0,0,0,LKO,2:05,CDG,2:15,2:09,0:10
9016,Gorakhpur - Mumbai B...,3,WR,2,0,1,0,0,0,0,0,LKO,2:05,BDTS,2:15,1:02,0:10
15057,Gorakhpur - Anand Vi...,3,NER,4,0,0,0,0,0,1,0,LKO,2:05,ANVT,2:15,1:11,0:10
82910,Gorakhpur - Bandra T...,2,WR,2,0,1,0,0,0,0,0,LKO,2:05,BDTS,2:10,0:45,0:05
15002,Rapti Ganga Express,3,NER,1,1,0,0,0,0,0,0,LKO,2:10,MFP,2:20,4:00,0:10
15006,Rapti Ganga Express,3,NER,1,0,0,0,1,0,1,0,LKO,2:10,GKP,2:20,3:00,0:10
15280,Poorabiya Express,3,ECR,4,0,0,1,0,0,0,1,LKO,2:10,SHC,2:20,1:47,0:10
15116,Loknayak Express,3,NER,1,0,1,0,0,0,0,0,LKO,2:10,CPR,2:20,2:21,0:10
15058,Anand Vihar Terminal...,3,NER,1,0,0,0,0,1,0,0,LKO,2:10,GKP,2:20,0:08,0:10
